DOCUMENT_NO,NARRATIVE,label,DEGREE_INJURY,IMMED_NOTIFY,ACTIVITY,OCCUPATION,SUBUNIT,CLASSIFICATION,MINE_ID,CONTRACTOR_ID,CAL_YR
220201990012,"At about 12:55 AM, the entire plant lost power. The transformers at the welding shop were sparking and had caught fire. The transformers were on the ground and the remnants of the cross members were smoldering with an occasional, small flame. Once power was pulled the fire was extinguished.",1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,MILL OPERATION/PREPARATION PLANT,FIRE,4100083,,2020
220201670029,Employee was working routine work and it was a very windy day. Dust/dirt particles blew behind EE's safety glasses into EE's eye.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Unknown,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",OTHER,1500040,,2020
220200490044,Two miners were ascending in the preheat tower personnel elevator when it stopped between the 5th and 6th floors. Miners were entrapped at 8:55am. Doors were checked and power cycled before a service call was placed with OTIS Elevator. The Service Tech arrived and the two miners were able to get out at 10:07am. A faulty Safety Overflow Switch was the issue.,1,ACCIDENT ONLY,ENTRAPMENT,NO VALUE FOUND,NO VALUE FOUND,MILL OPERATION/PREPARATION PLANT,ENTRAPMENT,2000038,,2020
220201620006,Miner fell from service truck on to their back.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Getting on or off equipment,"Mine manager, Mine foreman, Mine owner","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,3003123,,2020
220222290038,Citation 9534975 was issued during a Part 50 Audit with regard to this injury. The employee fractured EE's left index finger during the installation of a fully grouted roof bolt.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Roof bolter, NEC","Roof bolter, Rock bolter,  Pinner, Mobile roof support operator (MRS)",UNDERGROUND,HANDLING OF MATERIALS,1519374,,2020
220202970009,Employee was trimming the skirt rubber on a tailpiece when the knife slipped. Employee cut right thigh requiring stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,HANDTOOLS (NONPOWERED),1519374,,2020
220202110017,"Old West 2 Intake Bk 16 #8, Mine foreman was inspecting discharge line and found that roof fell in the intersection on top of discharge line.",0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4608656,,2020
220201430020,"Employee was working on the shop floor underneath the Komatsu 900 pit loader. When coming up from under machine EE hit head on the edge of the hydraulic tank causing a laceration on the top of EE's head, requiring stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer",MILL OPERATION/PREPARATION PLANT,STRIKING OR BUMPING,2300026,,2020
220202060006,Employee was driving back to shop on main haul road. Approaching Dixon ramp 2 they got too close to the edge of ditch and got pulled in causing truck to overturn on its side. The employee was wearing a seat belt. EE received a small laceration to the side of head requiring 3 staples.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Utility truck, Water trucks","Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",POWERED HAULAGE,2900097,,2020
220202020021,An unplanned roof fall was discovered on ML 10 Belt at 78 block intersection. The fall was approximately 60' L x 30' W x 10' from the original roof line. No one was injured as a result of the fall.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4601433,,2020
220202180014,EE was using an impact wrench with a socket on it to tighten a nut on a yoke. The socket came off while in use and struck the EE in the mouth.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,MACHINERY,1000088,,2020
220202870011,Employee was cutting rubber belting material with a razor blade knife. Employee was pulling knife towards self when it slipped out of the rubber material and EE hit EE's upper left leg with the blade. Employee received a laceration approximately 1 inch deep and 1 1/2 inches long. Employee received sutures to close the wound. Minimal impairment.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4801383,,2020
220202720009,Employee was welding grizzly rack for structural repairs and received welding flash to right eye.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Welding or cutting,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",MACHINERY,1500040,,2020
220202110028,"Gravel quarry crusher cought fire due to hydraulic line breaking. Soaked running cat motor and ignited. Two workers saw this happen, one ran for extinguishers and other notified supervision which in turn called 911 and had local department on sight within 15 minutes. Crusher and one conveyor could not be saved. No personnel were injured.",0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,3901351,,2020
220200550018,"EE was moving furnace pallet car rail on the forks of the forklift, attempted to manually rotate it while on the forks. The rail slipped pinching the left index finger between the rail & forklift fork a laceration resulting in stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,Forklift operator,MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,2101600,,2020
220201950022,"While operating the tailgate drum on the shear at shield #30 on the 8th South Longwall, The employee was struck in the back of the head by a lump of coal that had flown over the raise sloughing plate on the shear. Employee received a laceration which required medical treatment (Staples).",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Longwall, Shear, Plow","Section foreman, Bullgang foreman, Labor foreman, Leadman, Shift boss",UNDERGROUND,MACHINERY,4202241,,2020
220202820002,Employee was loading up a section of water hose for the miner when a loose end flipped up striking EE in the mouth chipping a tooth.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,HANDLING OF MATERIALS,1519374,,2020
220201830011,Miner was walking backwards down truck ramp when they fell. Miner received a laceration to the back of the head.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Miner, Prospector, NEC",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0402542,,2020
220200300019,Contractor truck driver was found lying on the ground on the drivers side of cement haul truck at the east truck access platform outbound lane by Golden Star trucking trainer and trainee at ~ 1:30-1:45 pm.,1,FATALITY,DEATH,"Walking, Running","Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver",MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,0400196,,2020
220203650005,Employee struck left index finger with a hammer. EE did not seek treatment until 12/29/2020,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Barge/Boat/Dredge/Towbarge/Towboat/Leach operator, Riverman, Deck hand",DREDGE,HANDTOOLS (NONPOWERED),2801005,,2020
220201690008,Fire occurred on buffer land. Cause was determined to be mylar balloon on electrical line. Fire department responded. Approximately 10 acres burned. There was no property damage and no injury. Plant personnel had completed shift and left property several hours before occurrence. Fire was reported to MSHA on 6/13/2020 at about 8:55 pm,1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,0400191,,2020
220201840014,"While attempting to cut a 36"" conveyor belt with a razor knife, a maintenance repairman lacerated the back of left thumb. This resulted in stitches to close wound.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),1504469,,2020
220200490015,The employee was tightening a hydraulic hose. The wrench slipped hitting the employee over the left eye. Injury resulted in 7 stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Blaster, Shooter, Shotfirer, Explosive worker, Powder gang/monkey","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),1519441,,2020
220202180007,"An unplanned roof fall was discovered on ML 3 Belt at 3 block intersection. The fall was approximately 20' L x 10-12"" H from the existing steel set x 16' wide. The fall damaged a steel set at this location, which was being used as permanent support. No one was injured as a result of the fall.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4601433,,2020
220200130016,Collar door switch at #2 shaft collar faulted out. Due to this fault the hoist operator did not know if the door had closed or not. This made it unsafe to operate.,1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,SURFACE AT UNDERGROUND,HOISTING,2000552,,2020
220200500003,Employee alleges that going down some stairs on the wrong floor and sprained left ankle.,1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,"Walking, Running",Welder (shop),"STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,5400428,,2020
220200370016,Employee was removing a drag lid and pinched thumb resulting in stitches. Employee continues to work.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,3600190,,2020
220202810023,Employee was inspecting a cylinder head when a piece of metal got into eye.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Inspect equipment or mine,"Belt foreman, Maintenance foreman, Maintenance supervisor",UNDERGROUND,OTHER,1000088,,2020
220202400011,Miner was squatting at the 8-bay looking at the screen. The rib blew out pushing miner against the 8-bay covering miner with rib rash. It took approx. 45 minutes to get the miner uncovered & out of the area. The distance between the rib & 8-bay prior to the incident was approx. 3 feet. The rib was supported with mesh & 4 foot bolts.,1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,FALL OF FACE/RIB/PILLAR/SIDE/HIGHWALL,4201566,,2020
220202880018,"Person in the area said the top started dribbling and then the intersection fell in. Area that fell was 8 feet high, 45 feet long in the beltline and 15 feet into the crosscut.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4201566,,2020
220203420013,Three employees were trapped in the number 2 crusher elevator between floors at approximately 9:20am. MSHA was notified at 9:46 am. Maintenance was able to move the car and free the employees at approximately 10:13 am.,1,ACCIDENT ONLY,ENTRAPMENT,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",ENTRAPMENT,2103352,,2020
220200980003,"Employee was dismantling an old screen using a pry bar. While attempting to loosen a lower piece of angle iron, another piece of angle iron fell from higher section of the screen, striking employee on left wrist.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),0203131,,2020
220202050016,"Employee was taking components out of a bucket on the electric shop table, the bucket started to fall to the ground, and when the employee tried to catch it, a piece of metal from the bucket sliced employee's middle finger of left hand.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Electrical maintenance,"Electrician, Lineman",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,0500790,,2020
220203440009,Employee was using a knife to cut belt and the knife slid causing injury to hand.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Beltman, Conveyor man,  Conveyor belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider",UNDERGROUND,HANDTOOLS (NONPOWERED),1519847,MVK,2020
220202950012,"74 HG 16 xc 2 to 3 entry partially fell in on 10/06/2020. The same xc fell in the rest of the way across the xc at 3:18 am on 10/15/2020. The area already had breaker rows installed to all approaches. No injuries occurred. Additional roof support was installed in the intersection in #2 entry to protect it, and also in 2 - 1 entry.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,3605018,,2020
220201390003,A Non-Injury Roof Fall occurred between the No. 4 & No. 5 entries at crosscut No. 22 on the 005-0 MMU on the DS-5 Panel. The roof fall was found during the weekly exam. MSHA was notified about the roof fall.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1502263,,2020
220210060018,Employee was installing a bit insert on a continuous miner and was striking the insert with a pick hammer when a piece of the hammer face broke off and embedded itself in EE's left pointer finger. Metal was removed from employee's hand by a surgeon on 12/29 and sutures were used after the procedure. No workdays were lost.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Continuous miner operator, Coal mole operator",UNDERGROUND,HANDTOOLS (NONPOWERED),4608759,,2020
220203660001,The dredge operator was attempting to change an isolator block on the cylinder for the right spud. The strap broke causing the cylinder to fall on them. EE was pinned until the person who was with them picked up the cylinder and freed them. The strap which was used was not rated for this application.,1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,Machine maintenance,"Barge/Boat/Dredge/Towbarge/Towboat/Leach operator, Riverman, Deck hand",DREDGE,HANDLING OF MATERIALS,1800305,,2020
220200270066,An unintentional roof fall was found at approximately 10:00PM in the face of the #4 entry. Approximately 20'x 20'.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4608759,,2020
220202160007,A ground fall occurred in the 4100 level above the 4100-4050 vent raise.,0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,2602512,,2020
220203660010,Employee was going up stairs in the concentrator to perform janitorial duties. Employee was halfway up the last flight of stairs when EE tripped and dislocated knee when it struck a stair.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running",Janitor,MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,2101600,J939,2020
220200700021,"Employee was walking to Pre-Shift a pump, when EE stepped on a loose rock, slipped and fell to the ground. This resulted in a fracture to the tibia just above the ankle. This was diagnosed on March 7th, when EE visited the ER.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Examiner, Fire boss, Pre-shift examiner, Mine examiner",UNDERGROUND,SLIP OR FALL OF PERSON,4609261,,2020
220200270006,"Was notified by the face boss on unit #2 1st Panel West of a roof fall located in #2 entry, XC-29 (21+20). This was inby the feeder on the working section.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1519806,,2020
220201130011,"Employee was working on a broken face chain at #4 shield on the Longwall. A piece of rock approx 11'x3'x2.5' thick fell between the face and shield tips. The rock fell straight down and rolled into the pan line, pinning employee against the rack bar. Incident resulted in the employee having two broken femurs and lower leg break.",1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,Machine maintenance,"Master mechanic, Foreman, Supervisor",UNDERGROUND,FALL OF ROOF OR BACK,4609192,,2020
220201630001,Upon information provided injury occurred while tarping load. EE fell from trailer to the ground.,1,FATALITY,DEATH,Handling supplies or material,"Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,0203413,C1001,2020
220202160026,Hot coal was discovered on a highwall creating smoke. No flame observed. No miners were working in the area. The hot coal was covered with dirt eliminating the issue.,1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,4801337,,2020
220200710006,Roof fall in bolted area was found,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,3609058,,2020
220202740012,Employee was hauling track rails off the # 1 Unit with the motor and rail car when a rail shifted. EE attempted to swing the rail back over by hand when a rail suddenly rolled over and pinched EE's left middle finger between two rails on the rail car.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Supply man, Supply worker, Nipper",UNDERGROUND,HANDLING OF MATERIALS,4608787,,2020
220202690004,EE stepped wrong and tore a muscle,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,3100225,,2020
220202810029,Injured employee was handing a power tool to another employee when the other employee lost grip of the tool causing the tool to fall and striking the injured employee in the mouth causing a chipped tooth.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Quality control technician, Laboratory technician, Laboratory assistant",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,3800258,,2020
220201680010,"The employee was removing tie wraps from a socket set with a pocket knife, the knife slipped and the blade tip punctured left hand.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Clerk, Timekeeper, Office worker, Director of sales",OFFICE WORKERS AT MINE SITE,HANDTOOLS (NONPOWERED),4609029,,2020
220203020026,An employee was returning from staking out the limits in area when they tripped and fell over a rock. Employee fell face forward and injured chin and lip requiring stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Rodman, Surveyor/Transit helper","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,0801015,,2020
220202620027,"Employee was removing shims in a wheel unit off of a 785 haul truck. While removing the shims, one slipped falling across EE's fingers resulting in lacerations and stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4407163,,2020
220201430023,While going to hook up slings EE slipped and fell. While falling EE put arms out to break the fall resulting in a fractured right wrist. No work missed.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Beltman, Conveyor man,  Conveyor belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider",UNDERGROUND,SLIP OR FALL OF PERSON,3609127,,2020
220201330012,Employee contacted safety and stated that EE's knee was acting up. This is the same knee that was previously injured. Treating physician contacted and a follow up was scheduled.,0,ALL OTHER CASES (INCL 1ST AID),NO VALUE FOUND,"Walking, Running","Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,2300542,,2020
220202480023,Customer driver was found unresponsive outside the customer's truck. Cause of is unknown.,1,FATALITY,DEATH,"Walking, Running","Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",MACHINERY,1302188,,2020
220202960013,"EE started pump at remote quarry location, turned, homeless man (been there before) was right there. Man grabbed/slammed EE to ground, ran away. EE's wrist injured as EE tried to break fall. Dr diagnosed as left wrist pain with restrictions still allowing EE to do normal duties. Follow up x-ray was taken, revealed small fracture/bone chip in wrist. The police were called.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,2302244,,2020
220200300031,Employee was working inside the building on a sloped concrete floor. EE had tied the ladder to the structure and was in the process of welding a flange when the ladder slightly shifted startling the welder. EE then jumped down from the third rung of the ladder and landed on the concrete floor hurting EE's right heel.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Welding or cutting,Welder (shop),MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,4201996,H409,2020
220203510004,On the night of 12/09/2020 the crew and I were getting dayshift set up for their stacker move in the morning. At 0300 A.M I was swinging the dead blow to remove a power cable when I'm in the middle of my fourth swing I felt my middle back tense up and my knees buckled unable to fully stand back up. I proceeded to finish the shift.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Crusher attendant/operator, Pan feeder operator/worker","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),2602818,,2020
220200830002,Mechanic was installing brakes on a water truck inside the shop area with garage doors opened. A rain storm developed causing wind to blow dust and the garage doors acted as a funnel to allow dust to enter shop area. Mechanic did have on appropriate PPE (eye protection).,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",OTHER,1500056,B8521,2020
220202830007,"The helper was lowering the jackleg onto the deck floor. As EE was lowering the jackleg, the jackleg was heavier than expected therefore the helper readjusted EE's hand placement putting EE's right index finger in the pinch point.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,Drill helper,UNDERGROUND,HANDLING OF MATERIALS,2602246,V720,2020
220202620002,A ROCK FALL OCCURRED ON THE 1ST WEST MAINS BELT AT SPAD 14+70 IN THE #5 ENTRY. THE FALL WAS 19X40X12. THERE WERE NO ADVERSE CONDITIONS IN THE AREA OF THE FALL. THE ROOF WAS BOLTED PER MAIN LINE BOLTING PATTERN.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1519744,,2020
220202170003,"Employee was changing engine oil in a triaxle. EE was working in the lube pit when the accident occurred. A drop of oil fell between the employee's safety glasses and eye. Hence, employee got a drop of oil in EE's eye.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,3607433,,2020
220201080001,An employee was moving lifters to a cart with a forklift. EE did not lift the forks high enough which caused the lifter to fly up and hit another employee in the lip.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,POWERED HAULAGE,4201996,X512,2020
220202190011,"EE was tightening the packing on a slurry pump. The wrench slipped causing EE's hand to hit the main frame of the pump. The top of the little finger on the right hand was cut, requiring 2 stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),3100435,,2020
220203030004,Cut to the hand from a utility knife,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),3600166,,2020
220200270048,EE was using a Box Cutter to cut cardboard tubes used to backfill drill holes when blade became stuck and the momentum caused EE's hand to continue upward across blade of box cutter resulting in laceration of right hand between thumb and forefinger.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Blaster, Shooter, Shotfirer, Explosive worker, Powder gang/monkey","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),3800002,B2686,2020
220203220012,An unintentional roof fall has occurred on the working section of the #1 Unit. The fall occurred in the #7 entry of the 17th-XC of the S1-G submain.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1202418,,2020
220200710004,IE left approximately 10' of steel in the roof while checking suction placed left hand on drill head steel came out of the roof striking IE's left ring finger causing a fracture.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Roof bolter, NEC","Roof bolter, Rock bolter,  Pinner, Mobile roof support operator (MRS)",UNDERGROUND,HANDLING OF MATERIALS,0503505,,2020
220203370016,EE was walking when EE fell falling on EE's left hand. The EE landed on left hand causing a boxer fracture.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Environmental tests or checks,"Examiner, Fire boss, Pre-shift examiner, Mine examiner",UNDERGROUND,SLIP OR FALL OF PERSON,4609217,,2020
220200210046,"The employee stated a 60 ton Komatsu haul truck, had a part failure that resulted in a haul truck fire that burned more than 10 minutes.",1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FIRE,2300542,,2020
220201060017,"While walking the 109 seals employee struck head on a roof strap, causing EE's hard hat to dislodge. As injured began to stand up EE struck head on same roof strap causing a laceration to the head. EE received six surgical staples. EE was treated and released back to work on 4/14/20.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Bull gang foreman, Labor foreman, Leadman, Section foreman, Shift boss",UNDERGROUND,STRIKING OR BUMPING,3607416,,2020
220200130002,While climbing a ladder the employee's foot slipped and employee twisted their back.,1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,"Climb scaffolds, Ladders","Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,3607979,,2020
220202260004,"Employee was using a utility knife to strip outer casing on an electrical cord, knife slipped and cut knuckle on left hand. Took 3 stitches to close",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Outside foreman, Leadman","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4703405,,2020
220202160004,"Employee was running belt to check it and a lot of dust came from belt getting into EE's eyes causing redness and irritation, this belt had just been changed out is the reason for the dust in the raw coal side, EE sought treatment on 7-30-20, returned to work on 7-31-20",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Conveyor belt,"Beltman, Conveyor man,  Conveyor belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider",MILL OPERATION/PREPARATION PLANT,POWERED HAULAGE,4605086,,2020
220203080003,Mechanic was cutting ripped conveyor belt from a stacker conveyor belt. As EE did this the knife contacted EE's skin above EE's left bicep and EE got 12 stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),0200988,,2020
